Ns;Groupes;N;Ncir;Lcir;Ncal;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;LP1;NPiP1 ;W1Pi1;L1Pi1;LP2;NPiP2;W1Pi2;L1Pi2;LP3;NPiP3;W1Pi3;L1Pi3;LP4;NPiP4;W1Pi4;L1Pi4;LP5;NPiP5;W1Pi5;L1Pi5;LPmed;NPiPmed;W1Pimed;L1Pimed;LPdis;NPiPdis;W1Pidis;L1Pidis;Morphologie;Sygyzie 1;Sygyzie 2;Sygyzie 3
Nv_24_1865_COI;1;116_9_24;25,00;59,51;54,00;0,80;1,40;1,10;1,10;3,90;3,40;4,90;1,70;2,60;1,50;1,10;1,30;2,30;3,10;2,60;2,10;1,10;1,90;1,70;1,90;0,80;1,80;0,90;1,80;1,40;1,70;1,20;1,90;1,40;1,80;0,90;0,45;12,00;0,85;1,10;0,60;13,00;0,65;0,90;0,70;9,00;0,60;0,85;0,65;8,00;0,80;0,80;0,55;12,00;0,65;0,70;NA;NA;NA;NA;NA;NA;NA;NA;8;s9,10;s16,17;s20,21
Nv_153_1865_COI;1;164_4_153;33,00;41,43;42,00;0,70;1,50;1,10;1,10;4,20;5,00;5,50;1,50;3,60;2,00;1,20;1,80;3,10;4,10;3,20;2,70;1,10;3,00;2,30;3,00;1,20;2,90;1,10;2,90;1,90;2,90;1,70;2,80;1,80;2,80;1,70;13,38;14,00;0,85;1,05;15,41;17,00;0,90;0,75;20,53;22,00;1,05;0,75;19,81;21,00;0,85;0,80;19,91;23,00;1,05;0,75;19,93;24,00;1,10;0,70;NA;NA;0,85;0,75;9;s10,11;s17,18;s21,22
Nv_154_1736_COI;1;164_4_154;36,00;87,03;72,00;0,70;1,50;1,20;1,30;4,00;4,50;5,70;1,10;3,50;1,30;1,10;1,70;2,80;3,90;3,00;2,50;1,20;2,50;2,10;2,40;1,20;2,40;1,10;2,50;1,80;2,50;1,60;2,40;1,50;2,30;1,40;13,91;18,00;0,80;1,15;14,77;15,00;0,65;0,85;15,58;16,00;0,75;0,75;11,97;18,00;0,80;0,65;13,15;17,00;0,90;0,70;15,77;21,00;0,90;0,70;21,49;29,00;0,80;0,65;11;s9,10;s16,17;s20,21
Nv_155_1865_COI;1;164_4_155;34,00;92,21;71,00;0,80;1,60;1,28;1,12;5,12;7,04;6,24;1,10;4,00;1,60;1,12;2,08;3,20;4,96;4,32;3,36;1,60;3,04;2,56;3,20;1,12;3,04;1,28;2,88;2,72;2,88;2,08;2,72;2,24;2,72;1,12;14,86;17,00;0,55;0,75;18,24;20,00;0,60;0,70;22,57;24,00;0,75;0,90;20,90;22,00;1,05;0,80;20,30;15,00;1,10;0,75;18,90;22,00;2,15;0,75;NA;NA;0,75;0,60;10;s8,9;s15,16;s20,21
Nv_354_1736_COI;1;197_5_354;43,00;43,26;50,00;0,70;1,90;0,90;0,90;8,10;9,40;8,70;1,80;5,60;2,30;2,00;2,20;4,80;6,30;5,10;4,00;2,00;4,20;3,30;4,30;0,90;3,90;1,10;4,00;2,20;4,00;2,10;4,00;1,80;3,90;1,90;18,47;18,00;1,05;1,20;15,92;19,00;1,10;1,05;21,97;17,00;1,25;0,95;20,15;19,00;1,25;0,85;21,50;20,00;1,30;1,10;23,99;21,00;1,10;1,10;25,47;28,00;1,10;1,05;9;s7,8;s11,12;s16,17
SSh-EM-Nv451;1;222_6_451;35,00;71,26;61,00;0,60;1,10;1,05;1,05;3,50;3,80;4,00;1,10;2,50;2,40;1,10;1,30;1,80;2,70;2,40;1,90;1,10;2,00;1,50;1,70;1,10;1,80;0,90;1,80;1,20;1,70;1,30;1,60;1,10;1,70;1,10;NA;NA;0,50;0,50;NA;NA;0,45;0,45;NA;NA;0,60;0,50;NA;NA;0,55;0,40;NA;NA;0,60;0,55;NA;NA;0,50;0,35;NA;NA;0,55;0,25;8;s9,10;s14,15;s18,19
Nv_31_1865_COI;1;116_9_31;33,00;86,86;69,00;0,80;1,30;1,10;1,15;7,10;8,30;8,40;1,45;3,90;2,10;2,00;2,30;3,40;4,70;4,10;2,60;1,50;2,80;2,40;2,90;1,10;3,00;1,20;3,00;2,10;2,70;1,90;2,80;1,60;2,90;1,10;14,51;13,00;0,80;0,75;NA;12,00;1,05;0,90;NA;13,00;1,05;1,05;NA;16,00;1,05;0,65;NA;10,00;1,10;0,60;NA;21,00;1,15;0,75;NA;21,00;1,05;0,70;8;s9,10;s14,15;s17,18
Nv_331_1865_COI;1;197_5_331;41,00;121,92;70,00;0,75;1,05;1,30;1,20;7,20;8,40;8,20;1,80;4,90;1,60;0,90;1,60;4,60;4,70;3,50;3,00;1,50;3,60;2,50;4,00;1,10;3,80;1,20;3,80;2,40;3,90;2,30;3,70;2,10;3,60;1,50;NA;15,00;1,15;1,20;NA;21,00;1,30;0,85;NA;23,00;1,40;1,05;NA;24,00;1,35;0,65;NA;19,00;1,30;0,70;NA;24,00;1,30;0,70;NA;29,00;1,35;0,45;11;s9,10;s12,13;s16,17
Nv_26;1;116_9_26;28,00;NA;NA;0,60;1,40;1,10;1,10;7,20;7,50;7,70;1,20;4,50;2,00;1,30;2,20;3,50;4,60;4,40;3,40;1,30;3,10;2,50;3,20;1,10;3,10;1,10;2,90;2,10;3,00;1,60;2,80;1,70;2,80;0,70;NA;NA;0,85;1,10;NA;NA;1,05;0,85;NA;NA;1,10;1,10;NA;NA;1,05;0,85;NA;NA;1,15;0,85;NA;NA;1,05;0,65;NA;NA;NA;NA;9;s7,8;s13,14;NA
Nv_337_1865_COI;1;197_5_337;34,00;NA;NA;0,70;1,70;1,20;1,30;6,20;6,60;7,20;1,10;3,70;1,70;1,30;1,80;3,30;4,30;3,60;3,30;1,30;3,20;2,30;3,00;0,90;3,10;1,10;3,00;1,80;2,80;1,50;2,70;1,40;2,90;1,50;NA;NA;0,75;0,85;NA;NA;0,85;0,75;NA;NA;1,05;0,80;NA;NA;0,90;0,75;NA;NA;0,90;0,75;NA;NA;0,90;0,70;NA;NA;NA;NA;8;s9,10;s15,16;s19,20
Nv_356_1736_COI;1;197_5_356;36,00;NA;NA;0,80;1,90;1,30;1,50;6,40;7,30;9,50;1,90;4,70;1,90;1,20;1,70;3,60;4,80;4,30;3,30;1,30;3,40;2,40;3,30;0,70;3,50;0,90;3,30;2,00;3,40;1,70;3,30;1,60;3,20;1,30;NA;NA;0,85;0,95;NA;NA;1,05;0,95;NA;NA;1,15;0,85;NA;NA;1,15;0,80;NA;NA;1,25;0,85;NA;NA;0,95;0,70;NA;NA;NA;NA;9;s10,11;s13,14;s16,17
Nv_25_1865_COI;1;116_9_25;30,00;NA;NA;0,70;1,40;1,10;1,10;3,70;4,10;4,60;1,20;3,40;1,80;1,20;1,50;2,70;3,50;3,20;2,50;1,10;2,70;2,10;2,70;0,90;2,40;1,05;2,40;1,60;2,30;1,50;2,40;1,40;2,30;0,90;NA;NA;0,60;0,75;NA;NA;0,65;0,75;NA;NA;0,65;0,70;NA;NA;0,75;0,70;NA;NA;0,80;0,70;NA;NA;0,85;0,80;NA;NA;0,75;0,80;8;s9,10;s14,15;s18,19
Nv_346_1865_COI;1;197_5_346;47,00;NA;NA;0,90;1,60;1,20;1,10;5,20;6,30;7,30;1,60;4,50;1,80;1,40;2,00;3,60;5,00;4,30;3,00;1,30;3,20;2,30;3,30;0,90;3,00;1,05;3,00;1,80;3,00;1,60;3,10;1,60;3,90;1,40;NA;NA;0,75;0,70;NA;NA;1,05;0,75;NA;NA;1,15;0,85;NA;NA;1,10;0,85;NA;NA;1,10;0,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nv_334_1633_COI;1;197_5_334;44,00;NA;NA;0,90;1,70;1,20;1,60;6,70;7,10;8,10;1,70;4,20;1,50;1,30;2,00;3,30;4,80;3,90;3,40;1,50;3,20;2,60;3,00;1,10;3,00;1,20;2,90;1,70;2,80;1,80;2,90;1,70;2,70;0,90;NA;NA;0,70;0,85;NA;NA;0,80;0,85;NA;NA;1,10;0,80;NA;NA;1,15;0,75;NA;NA;1,15;0,60;NA;NA;0,90;0,65;NA;NA;0,85;0,40;9;s10,11;s13,14;s16,17
Nv_360_1865_COI;1;197_5_360;42,00;NA;NA;0,90;1,30;1,40;1,30;7,20;7,80;7,20;1,30;4,90;2,20;1,20;2,00;4,30;5,50;4,80;3,80;1,40;3,60;2,80;4,00;1,10;3,60;1,30;3,50;2,30;3,40;1,90;3,30;1,80;3,50;2,00;NA;NA;1,05;1,10;NA;NA;1,05;1,20;NA;NA;1,20;1,15;NA;NA;1,25;1,15;NA;NA;1,25;1,05;NA;NA;1,25;0,80;NA;NA;1,25;0,80;11;s9,10;s13,14;s15,16
Nv_12_1865_COI;1;118_4_12;42,00;NA;NA;NA;NA;NA;NA;6,90;7,50;8,40;2,20;4,30;1,60;1,50;1,90;3,30;5,00;4,50;3,40;1,50;3,60;2,60;3,50;1,20;3,50;1,20;3,20;1,90;3,30;0,80;3,20;1,20;2,90;1,50;NA;NA;1,05;1,05;NA;NA;1,05;1,05;NA;NA;1,15;1,05;NA;NA;1,30;1,10;NA;NA;1,20;1,05;NA;NA;1,25;0,80;NA;NA;1,30;0,90;9;s7,8;s14,15;s16,17
Nv_341_1736_COI;1;197_5_341;NA;NA;NA;0,80;1,70;1,10;1,30;NA;NA;NA;NA;4,80;1,30;0,90;1,50;3,70;4,20;3,70;3,00;1,30;2,80;2,10;3,00;1,10;2,80;0,90;2,80;1,50;2,70;1,70;2,80;1,40;2,70;1,30;NA;NA;0,75;0,75;NA;NA;0,85;0,85;NA;NA;0,90;0,80;NA;NA;0,90;0,80;NA;NA;1,05;0,90;NA;NA;1,20;0,85;NA;NA;1,15;0,65;9;s13,14;NA;NA
Nv_357_1736_COI;1;197_5_357;47,00;NA;NA;0,90;1,70;1,30;1,40;6,20;7,60;7,50;1,10;4,40;1,80;1,10;1,70;3,70;4,50;3,70;3,40;1,40;3,20;2,30;3,20;1,10;2,80;1,20;2,90;2,00;3,00;1,70;2,90;0,90;2,90;1,05;NA;NA;0,90;0,80;NA;NA;0,85;0,85;NA;NA;1,05;0,75;NA;NA;1,15;0,85;NA;NA;1,15;0,85;NA;NA;0,85;0,65;NA;NA;0,70;0,50;10;s7,8;s13,14;s16,17
Nv_156_1865_COI;1;164_4_156;34,00;NA;NA;0,60;1,40;1,10;1,20;4,70;4,90;5,20;1,50;3,30;1,60;1,10;1,70;2,50;3,70;3,20;2,60;1,30;2,50;2,10;2,40;0,80;2,30;1,20;2,40;1,70;2,40;1,60;2,30;1,50;2,30;1,30;NA;NA;0,85;0,80;NA;NA;1,05;0,75;NA;NA;1,05;0,75;NA;NA;1,10;0,65;NA;NA;1,10;0,75;NA;NA;0,80;0,60;NA;NA;0,85;0,60;8;s9,10;s15,16;s18,19
Nv_355_1865_COI;1;197_5_355;26,00;NA;NA;0,80;1,60;1,30;1,30;5,20;5,50;5,90;0,90;3,40;1,70;1,10;1,50;2,90;3,50;2,70;2,80;1,10;2,70;1,80;2,70;0,70;2,50;1,05;2,40;1,40;2,30;1,50;2,20;1,30;2,10;1,05;NA;NA;0,65;0,70;NA;NA;0,75;0,75;NA;NA;0,80;0,65;NA;NA;0,80;0,80;NA;NA;0,85;0,70;NA;NA;NA;NA;NA;NA;NA;NA;8;s13,14;s15,16;NA
Nv_358_1865_COI;1;197_5_358;38,00;NA;NA;0,35;1,40;1,30;1,30;5,40;6,10;7,10;1,40;4,20;1,70;1,20;1,90;3,60;4,60;3,90;3,00;1,20;3,40;2,10;3,20;1,10;3,10;1,10;3,00;2,20;3,10;1,70;3,10;1,80;3,00;1,70;NA;NA;0,85;0,75;NA;NA;1,10;0,80;NA;NA;1,10;0,85;NA;NA;1,05;0,75;NA;NA;1,10;0,75;NA;NA;0,90;0,65;NA;NA;0,90;0,65;8;s10,11;s16,17;s18,19
Nv_333_1865_COI;1;197_5_333;38,00;NA;NA;0,50;1,20;0,90;1,10;4,50;6,20;7,30;1,40;5,20;1,80;1,50;2,00;4,30;5,30;4,40;4,00;1,60;3,80;2,70;3,70;0,90;3,80;1,30;3,60;2,00;3,40;1,70;3,50;1,80;3,30;1,60;NA;NA;1,05;1,05;NA;NA;1,05;1,15;NA;NA;1,35;1,10;NA;NA;1,45;1,05;NA;NA;1,50;1,10;NA;NA;NA;NA;NA;NA;NA;NA;9;s11,12;s13,14;s15,16
Nv_336_1865_COI;1;197_5_336;35,00;NA;NA;0,80;1,60;1,30;1,40;4,80;5,40;6,80;1,30;4,40;2,20;1,60;1,80;3,40;4,90;4,20;3,40;1,60;2,30;2,50;3,10;1,30;3,00;1,20;3,10;1,80;2,80;1,90;2,90;2,00;2,70;1,80;NA;NA;1,05;0,90;NA;NA;0,90;0,85;NA;NA;0,85;0,80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nv_338_1865_COI;1;197_5_338;44,00;NA;NA;0,70;1,70;1,40;1,50;7,50;8,20;8,50;1,80;5,20;1,80;1,40;2,10;3,80;5,20;4,60;3,70;1,60;3,50;2,50;3,70;1,30;3,50;1,10;3,40;2,00;3,30;1,90;3,40;1,70;3,30;1,40;NA;NA;0,85;0,75;NA;NA;0,80;0,65;NA;NA;1,10;0,80;NA;NA;1,15;0,70;NA;NA;1,25;0,65;NA;NA;1,20;1,05;NA;NA;NA;NA;8;s14,15;s15,16;s18,19
Nv_339_1865_COI;1;197_5_339;28,00;NA;NA;0,70;2,00;1,50;1,50;7,30;7,60;8,50;1,30;5,20;1,70;1,20;1,90;4,20;5,30;4,30;3,50;1,60;3,80;2,70;3,70;1,10;3,50;1,20;3,50;1,80;3,40;1,90;3,40;1,70;3,30;1,20;NA;NA;1,05;0,85;NA;NA;1,10;0,75;NA;NA;1,25;1,05;NA;NA;1,25;1,10;NA;NA;1,30;1,05;NA;NA;1,25;0,85;NA;NA;NA;NA;9;s10,11;s13,14;s17,18
Nv_349_1736_COI;1;197_5_349;40,00;NA;NA;0,70;1,60;1,30;1,20;6,10;6,50;6,80;2,00;4,30;1,90;1,10;1,70;3,60;4,40;3,70;3,60;1,30;3,10;2,30;3,00;0,80;2,90;1,30;2,80;1,70;2,90;1,60;2,90;1,60;2,80;1,50;NA;NA;0,70;1,10;NA;NA;0,80;1,05;NA;NA;0,85;1,05;NA;NA;1,05;0,85;NA;NA;1,05;0,80;NA;NA;0,90;0,80;NA;NA;0,85;0,75;9;s9,10;s13,14;s16,17
Nv_353_1865_COI;1;197_5_353;32,00;NA;NA;0,90;1,80;1,20;1,50;6,50;7,30;7,90;1,30;4,80;1,80;1,50;1,70;3,70;5,20;3,70;3,50;1,30;3,60;2,50;3,40;1,20;3,30;1,20;3,30;1,80;3,20;1,90;3,20;1,50;3,30;1,60;NA;NA;1,05;0,70;NA;NA;1,05;0,85;NA;NA;1,05;0,80;NA;NA;1,20;0,80;NA;NA;1,25;0,90;NA;NA;1,15;0,85;NA;NA;1,10;0,75;9;s13,14;s14,15;s16,17
Nv_2_1865_COI;1;116_9_2;37,00;NA;NA;0,80;2,00;1,30;1,40;6,50;7,20;9,20;1,70;5,30;2,50;1,50;2,30;4,20;5,50;4,70;3,90;2,20;3,50;2,90;3,20;1,30;3,30;1,20;3,10;2,10;3,00;2,00;3,30;1,80;3,20;1,70;NA;NA;1,10;0,85;NA;NA;1,10;0,95;NA;NA;1,25;1,10;NA;NA;1,25;0,95;NA;NA;1,15;0,80;NA;NA;NA;NA;NA;NA;NA;NA;8;s9,10;s13,14;s15,16
Nv_350_1736_COI;1;197_5_350;44,00;NA;NA;2,10;1,80;1,50;1,40;7,50;8,50;9,10;1,60;4,30;2,00;1,30;1,80;3,60;4,80;3,80;3,00;1,30;3,30;2,70;3,20;1,10;3,10;1,20;3,20;1,80;2,70;1,70;3,00;1,50;3,20;2,00;NA;NA;0,70;1,10;NA;NA;0,75;0,90;NA;NA;0,90;0,95;NA;NA;1,15;0,90;NA;NA;1,10;0,90;NA;NA;1,05;0,65;NA;NA;NA;NA;8;s9,10;s14,15;s16,17
Nv_32_1865_COI;1;116_9_32;27,00;NA;NA;0,70;1,30;1,30;1,10;5,20;5,50;6,70;1,20;3,50;1,90;1,30;1,70;2,50;4,10;3,40;2,40;1,20;2,50;2,00;2,40;0,80;2,40;1,20;2,20;1,60;2,30;1,50;2,30;0,90;2,40;0,80;NA;NA;0,75;0,75;NA;NA;0,90;0,65;NA;NA;0,85;0,75;NA;NA;0,85;0,75;NA;NA;0,80;0,70;NA;NA;0,75;0,65;NA;NA;0,75;0,65;9;s7,8;s12,13;s16,17
EWS-EM-Nv514;2;265_2_514;28,00;128,03;74,00;0,80;1,70;1,70;1,20;5,10;6,00;6,70;1,70;3,50;1,90;1,50;2,00;2,90;3,70;3,60;3,30;1,10;2,60;2,20;2,70;1,20;2,50;1,05;2,50;1,90;2,50;1,80;2,40;1,90;2,50;1,60;9,82;10,00;0,60;0,60;10,77;12,00;0,60;0,65;10,50;8,00;0,65;0,75;NA;16,00;0,75;0,75;NA;17,00;0,75;0,90;19,16;22,00;0,90;0,80;22,13;25,00;0,85;0,85;11;s9,10;s13,14;s16,17
RSCHMNA18474Notocrinus;3;18474;25,00;39,32;44,00;0,70;1,20;0,70;1,05;3,50;3,10;4,10;1,10;2,30;1,20;1,05;1,30;2,20;3,40;2,10;2,20;1,10;2,10;1,70;2,20;1,05;2,10;0,90;2,20;1,50;1,90;1,30;2,00;1,20;1,90;1,20;13,35;13,00;0,75;0,90;9,67;11,00;0,70;0,65;10,86;14,00;0,75;0,60;NA;12,00;0,80;0,65;NA;13,00;0,90;0,65;15,27;20,00;0,75;0,60;17,88;18,00;0,80;0,55;10;s14,15;s19,20;NA
RSCHMNA18479Notocrinus;3;18479;30,00;52,40;53,00;0,60;1,30;1,05;1,10;4,20;4,90;4,90;1,50;3,20;1,50;1,05;1,20;2,90;4,00;2,90;2,50;1,10;2,50;2,00;2,50;1,05;2,40;1,05;2,40;1,70;2,30;1,70;2,30;1,50;2,20;1,05;8,46;14,00;0,90;0,85;9,51;13,00;1,05;0,75;9,38;13,00;1,05;0,70;NA;14,00;1,10;0,70;NA;15,00;1,25;1,05;17,08;19,00;1,10;0,70;17,36;22,00;0,85;0,60;10;s8,9;s14,15;s19,20
RSMNA19793Notocrinus;3;19793;56,00;48,04;54,00;0,60;1,40;1,05;1,20;4,80;5,20;6,10;1,90;3,60;1,50;1,05;1,30;3,50;4,10;3,00;2,70;1,05;2,80;2,00;3,00;1,05;2,70;0,90;2,90;1,80;3,10;1,60;2,70;1,50;3,00;1,70;NA;NA;0,65;1,05;NA;NA;0,75;0,85;NA;NA;1,05;0,80;NA;NA;1,05;0,70;NA;NA;1,25;0,50;NA;NA;1,05;0,65;NA;NA;1,05;0,60;9;s7,8;s13,14;s18,19
RSCAMNA19792Notocrinus;3;19792;58,00;51,64;50,00;0,40;1,40;0,90;1,10;6,50;6,90;7,60;1,50;3,90;1,40;0,90;1,20;4,10;5,10;2,90;3,30;1,20;3,40;2,30;3,50;0,80;3,20;1,10;3,20;1,80;3,40;2,00;3,30;1,60;3,20;1,50;NA;NA;0,85;0,80;NA;NA;1,05;0,60;NA;NA;1,30;0,55;NA;NA;1,20;0,75;NA;NA;1,30;0,90;NA;NA;1,30;0,85;NA;NA;1,20;0,65;9;s12,13;s16,17;NA
RSCAMNA19791Notocrinus;3;19791;58,00;48,04;52,00;0,60;1,40;1,05;1,20;4,80;5,20;6,10;1,90;3,60;1,50;1,10;1,30;3,50;4,10;3,00;2,70;1,05;2,80;2,00;3,00;1,05;2,70;0,90;2,90;1,80;3,10;1,60;2,70;1,50;3,00;1,70;NA;NA;0,65;1,05;NA;NA;0,75;0,85;NA;NA;1,05;0,80;NA;NA;1,05;0,70;NA;NA;1,25;0,50;NA;NA;1,05;0,65;NA;NA;1,10;0,60;10;s5,6;s14,15;NA
TANv468Notocrinus;3;IE2009468;36,00;82,05;60,00;0,80;1,40;1,30;1,20;6,00;6,50;7,20;1,50;4,20;2,00;1,10;1,90;4,00;5,00;3,80;3,60;1,10;3,50;2,50;3,70;0,90;3,20;1,20;3,20;2,10;3,30;2,00;3,40;1,90;3,20;2,10;15,04;21,00;0,75;1,15;12,67;14,00;0,85;1,10;13,11;12,00;1,15;0,85;NA;17,00;1,40;0,85;NA;25,00;1,35;0,65;29,12;29,00;1,15;0,75;33,23;36,00;1,20;0,70;10;s8,9;s13,14;s18,19
TANv466Notocrinus;3;IE2009466;39,00;67,82;57,00;0,70;1,40;1,10;1,20;6,20;6,90;6,50;1,10;4,30;1,70;1,20;2,00;4,30;5,70;3,70;3,10;1,40;3,60;2,70;3,70;1,30;3,10;1,05;3,20;2,20;3,40;2,00;3,20;2,10;3,30;1,90;14,08;18,00;0,65;1,55;12,16;13,00;1,05;1,15;26,68;28,00;1,05;0,85;NA;NA;1,25;1,05;NA;NA;1,40;0,80;28,00;28,00;1,15;0,70;22,79;28,00;1,05;0,85;10;s7,8;s13,14;s16,17
TANv463Notocrinus;3;IE2009463;21,00;45,37;52,00;1,10;0,90;1,10;0,90;3,10;3,80;3,20;0,70;2,60;1,10;1,10;1,10;1,90;3,10;2,40;2,00;0,90;1,90;1,60;1,90;0,60;1,70;0,90;1,70;1,40;1,60;1,10;1,60;1,40;1,50;1,40;NA;NA;0,50;0,80;NA;NA;0,70;0,75;NA;NA;0,65;0,60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;s7,8;s13,14;s19,20
TANv472Notocrinus;3;IE2009472;23,00;67,40;60,00;0,80;1,50;1,60;1,10;5,30;5,50;5,90;1,20;3,90;1,90;1,50;2,00;3,60;3,00;5,40;3,00;0,80;2,50;1,80;2,90;0,80;2,50;1,10;2,50;1,80;2,60;1,70;2,60;1,30;2,40;1,60;11,53;16,00;1,30;1,05;9,16;12,00;0,60;0,90;11,43;14,00;0,80;0,70;NA;NA;1,05;0,70;NA;NA;0,90;0,55;15,57;20,00;1,05;0,70;14,00;18,00;1,05;0,75;10;s13,14;s16,17;s21,22
TANv193Notocrinus;3;IE2009193;21,00;42,41;42,00;0,50;1,30;1,05;0,85;2,60;3,10;4,20;1,10;1,90;1,20;0,80;1,20;1,90;2,90;1,90;1,65;0,90;1,80;1,55;1,90;0,80;1,80;0,90;1,80;1,45;1,90;1,25;1,70;1,20;1,55;1,05;10,62;13,00;1,05;1,05;9,78;12,00;0,55;0,70;6,79;13,00;0,60;0,55;NA;NA;1,30;0,60;NA;NA;0,65;0,50;11,37;15,00;0,65;0,60;14,38;24,00;0,65;0,65;12;s5,6;s10,11;s15,16
TANv456Notocrinus;3;IE2009456;46,00;64,02;62,00;0,70;1,30;1,20;1,10;6,20;6,70;7,20;1,50;4,00;2,20;1,30;2,00;4,30;5,50;3,90;3,50;1,20;3,30;2,40;3,50;1,10;3,10;0,90;3,20;2,00;3,20;1,90;3,10;1,70;3,10;1,70;68,50;11,00;0,85;0,75;11,16;13,00;0,90;0,75;10,85;14,00;0,75;0,80;13,84;14,00;0,95;0,85;13,82;18,00;1,45;0,70;16,17;23,00;1,15;0,75;27,37;29,00;1,10;0,70;11;s6,7;s13,14;s17,18
TANv471Notocrinus;3;IE2009471;43,00;64,02;61,00;0,80;1,60;0,75;1,20;5,10;5,40;5,50;1,30;3,30;1,60;1,10;1,80;5,20;4,90;3,20;3,00;1,30;2,90;2,50;3,50;1,10;2,90;1,20;3,00;1,90;3,10;1,90;2,80;1,90;2,90;1,70;13,63;15,00;1,15;1,10;12,82;16,00;1,25;0,95;15,25;13,00;0,95;0,95;13,73;14,00;0,85;1,05;16,07;15,00;0,85;1,10;26,87;29,00;0,95;0,50;21,59;26,00;0,70;0,45;9;s12,13;s17,18;NA
TANv195Notocrinus;3;IE2009195;37,00;75,18;49,00;0,70;1,10;1,05;0,80;3,20;3,50;3,40;0,70;2,10;1,40;1,05;1,50;2,50;2,90;2,20;2,10;1,05;2,00;1,70;2,00;0,70;1,90;1,05;1,90;1,40;1,80;1,40;1,80;1,20;1,80;1,30;NA;NA;0,60;0,75;NA;NA;0,65;0,70;NA;NA;0,65;0,65;NA;NA;0,70;0,70;NA;NA;0,70;0,75;NA;NA;0,65;0,55;NA;NA;0,60;0,60;10;s13,14;s18,19;NA
Nv467COI;3;IE2009467;27,00;75,18;62,00;0,70;1,70;1,20;1,10;4,30;4,60;5,80;0,80;3,80;1,70;1,30;1,90;3,20;4,70;3,70;3,30;1,30;3,10;2,50;3,10;1,05;3,00;1,20;3,00;2,00;2,90;1,90;2,90;1,90;2,80;2,00;NA;NA;0,80;0,90;NA;NA;0,85;1,05;NA;NA;1,10;1,05;NA;NA;1,15;0,85;NA;NA;1,20;0,85;NA;NA;1,15;0,90;NA;NA;1,05;0,75;9;s14,15;s18,19;NA
BTC211;3;BTC211;55,00;86,86;37,00;0,50;1,25;1,10;1,10;4,70;5,30;4,90;1,10;3,35;1,20;1,10;1,35;2,80;3,45;2,60;2,25;1,05;2,30;1,50;2,40;1,05;2,20;1,05;2,15;1,25;2,10;1,20;2,00;1,25;2,00;1,05;NA;NA;0,55;0,80;NA;NA;0,60;0,65;NA;NA;0,70;0,70;NA;NA;0,75;0,60;NA;NA;0,90;0,60;NA;NA;NA;NA;NA;NA;NA;NA;10;s8,9;s13,14;s18,19
BTC269;3;BTC269;28,00;40,80;59,00;0,50;1,15;0,85;0,85;3,25;3,65;4,05;1,45;2,75;1,10;0,80;1,10;2,15;2,65;2,25;2,15;0,60;2,15;1,50;2,10;1,05;1,95;0,85;2,00;1,25;2,00;1,25;1,85;1,05;1,80;1,05;7,09;9,00;0,55;1,05;7,09;11,00;0,65;0,50;5,79;10,00;0,55;0,55;NA;NA;0,55;0,50;NA;NA;0,50;0,55;NA;NA;NA;NA;NA;NA;NA;NA;10;NA;NA;NA
BTC268;3;BTC268;28,00;48,29;51,00;0,60;1,30;1,10;1,05;3,60;4,25;4,35;1,25;2,90;1,25;1,05;1,20;2,60;2,30;2,45;2,30;1,05;2,25;1,55;2,10;0,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BTC252;3;BTC252;32,00;12,18;27,00;0,50;1,20;0,90;1,10;3,85;4,25;4,30;1,10;2,85;1,25;0,90;1,35;2,60;3,15;2,55;2,30;1,05;2,25;1,55;2,15;1,05;1,95;1,05;2,00;1,30;2,00;1,15;1,95;1,20;1,95;1,20;NA;NA;0,70;0,75;NA;NA;0,75;0,55;NA;NA;0,75;0,60;NA;NA;0,85;0,55;NA;NA;0,85;0,50;NA;NA;NA;NA;NA;NA;NA;NA;10;s14,15;NA;NA
BTC2033;3;BTC2033;37,00;20,47;33,00;0,35;0,85;0,75;0,60;2,60;3,45;3,25;0,90;1,95;0,90;0,75;0,85;1,70;2,20;1,75;1,35;0,75;1,35;1,25;1,50;0,70;1,45;0,75;1,25;0,85;1,30;0,80;1,25;0,80;1,20;0,75;5,60;10,00;0,30;0,55;NA;NA;0,40;0,45;NA;NA;0,45;0,45;NA;NA;0,45;0,50;NA;NA;0,50;0,55;NA;NA;NA;NA;NA;NA;NA;NA;10;s13,14;NA;NA
